Date,Close,Open,High,Low,Volume,Change
"May 05, 2021",699.88,700.12,701.75,692.5,-,-0.05%
"May 04, 2021",700.25,681.38,703.62,675.88,-,2.77%
"May 03, 2021",681.38,685.88,697.88,674.12,-,-0.53%
"May 02, 2021",685,685,685,685,-,-7.43%
"Apr 30, 2021",740,702.5,746.25,699.25,-,5.41%
"Apr 29, 2021",702,683.75,704.5,681,30.79K,2.30%
"Apr 28, 2021",686.25,697.75,720.5,676.25,107.99K,-1.33%
"Apr 27, 2021",695.5,688.5,720.5,680.5,166.14K,2.20%
"Apr 26, 2021",680.5,661,680.5,661,157.51K,6.70%
"Apr 25, 2021",637.75,637.75,637.75,637.75,-,-2.71%
"Apr 23, 2021",655.5,653,658.5,638.25,157.73K,0.77%
"Apr 22, 2021",650.5,624.25,650.5,623.5,147.25K,4.00%
"Apr 21, 2021",625.5,609.5,628.5,604.5,163.26K,3.13%
"Apr 20, 2021",606.5,593,611.75,592.75,180.19K,2.45%
"Apr 19, 2021",592,588.75,596.75,588.25,105.99K,0.27%
"Apr 18, 2021",590.38,589.12,590.38,589.12,-,0.83%
"Apr 16, 2021",585.5,590.5,594.75,583.25,165.26K,-0.76%
"Apr 15, 2021",590,594.25,601.5,587.75,176.86K,-0.67%
"Apr 14, 2021",594,579.75,597.75,578.75,242.72K,2.41%
"Apr 13, 2021",580,569,584.5,565.5,225.72K,1.93%
"Apr 12, 2021",569,577.75,586,567.25,198.64K,-1.66%
"Apr 11, 2021",578.62,578.62,578.62,578.62,-,0.24%
"Apr 09, 2021",577.25,579,595,575.5,249.74K,-0.43%
"Apr 08, 2021",579.75,560.75,583,559.25,258.79K,3.43%
"Apr 07, 2021",560.5,555.75,562.25,553.75,158.00K,1.13%
"Apr 06, 2021",554.25,553.75,561.5,552.25,134.85K,0.18%
"Apr 05, 2021",553.25,561.25,564.5,549.75,143.68K,-1.54%
"Apr 04, 2021",561.88,561.88,561.88,561.88,-,0.38%
"Apr 01, 2021",559.75,575,585,556.5,249.75K,-0.80%
"Mar 31, 2021",564.25,538.25,564.25,536.25,145.90K,4.64%
"Mar 30, 2021",539.25,546.25,547.5,533.75,136.03K,-1.37%
"Mar 29, 2021",546.75,551.75,552,542.25,119.80K,-0.75%
"Mar 28, 2021",550.88,550.88,550.88,550.88,-,-0.29%
"Mar 26, 2021",552.5,546.5,554,544,124.03K,1.10%
"Mar 25, 2021",546.5,552.25,552.5,541.5,142.18K,-1.22%
"Mar 24, 2021",553.25,551,553.75,548.25,92.01K,0.36%
"Mar 23, 2021",551.25,551.25,556,547.75,122.09K,0.41%
"Mar 22, 2021",549,558,558.75,546.75,129.30K,-1.59%
"Mar 21, 2021",557.88,557.88,557.88,557.88,-,0.02%
"Mar 19, 2021",557.75,546.25,559,545.5,158.52K,2.06%
