Date,Close,Open,High,Low,Volume,Change
"May 04, 2021",59.19,58.72,59.37,58.72,23.52M,0.63%
"May 03, 2021",58.82,57.88,58.99,57.74,20.51M,2.76%
"Apr 30, 2021",57.24,58.01,58.88,57.16,30.52M,-2.88%
"Apr 29, 2021",58.94,58.95,59.47,58.16,27.32M,1.43%
"Apr 28, 2021",58.11,56.83,58.46,56.81,24.73M,3.01%
"Apr 27, 2021",56.41,56,56.62,55.83,19.28M,1.31%
"Apr 26, 2021",55.68,55.47,56.27,55.45,16.08M,0.20%
"Apr 23, 2021",55.57,55.27,55.94,55.18,15.34M,0.54%
"Apr 22, 2021",55.27,55.78,55.89,55.03,21.60M,-1.30%
"Apr 21, 2021",56,54.49,56.13,54.35,16.63M,1.28%
"Apr 20, 2021",55.29,56.26,56.26,54.8,21.78M,-2.11%
"Apr 19, 2021",56.48,56.69,57.12,55.97,21.12M,-0.32%
"Apr 16, 2021",56.66,57.36,57.68,56.44,22.75M,-0.56%
"Apr 15, 2021",56.98,57.31,57.33,56.79,23.25M,-0.59%
"Apr 14, 2021",57.32,56.41,58,56.3,28.05M,2.89%
"Apr 13, 2021",55.71,55.28,55.98,55.1,19.37M,0.38%
"Apr 12, 2021",55.5,56.68,56.77,55.32,20.24M,-0.66%
"Apr 09, 2021",55.87,56,56.44,55.53,20.02M,-0.23%
"Apr 08, 2021",56,55.93,56.08,55.32,22.00M,-1.04%
"Apr 07, 2021",56.59,56.39,56.77,56.25,22.38M,0.44%
"Apr 06, 2021",56.34,56.81,57.53,56.27,18.93M,-0.28%
"Apr 05, 2021",56.5,57.26,57.28,56.14,23.26M,-1.55%
"Apr 01, 2021",57.39,56.32,57.45,56.14,23.19M,2.79%
"Mar 31, 2021",55.83,56.38,56.63,55.8,23.69M,-1.52%
"Mar 30, 2021",56.69,56.86,57.36,56.49,19.73M,-1.24%
"Mar 29, 2021",57.4,57.22,57.81,56.75,21.14M,-0.54%
"Mar 26, 2021",57.71,57.3,57.78,56.52,34.23M,2.72%
"Mar 25, 2021",56.18,55.23,56.5,54.5,31.50M,-0.28%
"Mar 24, 2021",56.34,56.18,57.28,56.16,29.78M,2.03%
"Mar 23, 2021",55.22,54.87,56.28,54.51,33.49M,-1.23%
"Mar 22, 2021",55.91,56.45,56.86,55.91,29.32M,-1.03%
"Mar 19, 2021",56.49,56.71,57.47,55.81,84.44M,-0.56%
"Mar 18, 2021",56.81,58.91,58.94,56.53,38.62M,-4.31%
"Mar 17, 2021",59.37,58.69,59.73,58.63,25.58M,0.44%
"Mar 16, 2021",59.11,59.5,59.65,58.45,30.62M,-2.12%
"Mar 15, 2021",60.39,61.53,61.8,59.87,31.26M,-2.55%
"Mar 12, 2021",61.97,61.57,62.37,61.54,20.42M,1.08%
"Mar 11, 2021",61.31,61.67,62.54,61.26,24.80M,-0.74%
"Mar 10, 2021",61.77,60.41,61.91,60.03,31.58M,3.07%
"Mar 09, 2021",59.93,60.5,61.39,59.49,35.65M,-1.54%
"Mar 08, 2021",60.87,61.56,61.56,59.83,38.15M,-0.10%
"Mar 05, 2021",60.93,59.83,61.05,59.11,51.43M,3.78%
"Mar 04, 2021",58.71,57.17,59.46,57.11,52.14M,3.87%
"Mar 03, 2021",56.52,56.39,57.96,55.91,35.36M,0.80%
"Mar 02, 2021",56.07,56.65,56.95,56.03,30.30M,-0.59%
"Mar 01, 2021",56.4,56.48,57.6,56.15,37.00M,3.73%
"Feb 26, 2021",54.37,54.41,55.06,53.12,35.29M,-2.49%
"Feb 25, 2021",55.76,56.99,57.24,55.36,29.67M,-1.66%
"Feb 24, 2021",56.7,55.19,57,54.87,28.73M,3.00%
"Feb 23, 2021",55.05,55,55.25,53.76,33.53M,1.38%
"Feb 22, 2021",54.3,52.63,54.81,52.61,36.44M,3.69%
"Feb 19, 2021",52.37,52.11,52.56,51.92,22.61M,0.67%
"Feb 18, 2021",52.02,52.81,52.91,51.87,20.63M,-1.57%
"Feb 17, 2021",52.85,52.35,53.27,51.8,25.44M,1.56%
"Feb 16, 2021",52.04,51.96,52.53,51.62,26.79M,3.01%
"Feb 12, 2021",50.52,49.43,50.71,49.41,19.76M,1.36%
"Feb 11, 2021",49.84,50.89,50.93,48.78,26.90M,-2.50%
"Feb 10, 2021",51.12,50.63,51.42,50.39,25.56M,0.97%
"Feb 09, 2021",50.63,50.67,50.96,49.77,28.71M,-2.82%
"Feb 08, 2021",52.1,50.92,52.36,50.71,36.63M,4.30%
"Feb 05, 2021",49.95,49.18,50.12,49.04,34.98M,3.35%
"Feb 04, 2021",48.33,47.89,48.38,47.25,25.28M,1.92%
"Feb 03, 2021",47.42,45.63,47.67,45.53,28.46M,3.92%
"Feb 02, 2021",45.63,45.75,46.98,45.3,31.94M,1.58%
"Feb 01, 2021",44.92,45.54,45.57,44.29,24.41M,0.18%
"Jan 29, 2021",44.84,45.55,46.04,44.51,38.96M,-2.65%
"Jan 28, 2021",46.06,45.91,46.58,45.7,24.97M,1.57%
"Jan 27, 2021",45.35,45.02,46.65,44.55,32.41M,-1.13%
"Jan 26, 2021",45.87,47.36,47.85,45.87,23.98M,-2.20%
"Jan 25, 2021",46.9,47.43,47.43,46.17,26.40M,-1.12%
"Jan 22, 2021",47.43,47.01,47.64,46.64,23.26M,-1.41%
"Jan 21, 2021",48.11,49.33,49.39,47.68,29.06M,-2.87%
"Jan 20, 2021",49.53,49.11,49.74,48.99,22.34M,1.41%
"Jan 19, 2021",48.84,48.47,49.43,48.36,24.93M,1.98%
"Jan 15, 2021",47.89,48.91,49.08,47.29,42.41M,-4.81%
"Jan 14, 2021",50.31,48.59,51.07,48.59,35.47M,3.90%
"Jan 13, 2021",48.42,48.47,48.71,47.7,29.00M,1.13%
"Jan 12, 2021",47.88,47.49,48.16,46.92,36.92M,2.22%
"Jan 11, 2021",46.84,45.01,47.12,44.75,38.29M,3.04%
"Jan 08, 2021",45.46,45.2,45.82,44.95,28.63M,1.11%
"Jan 07, 2021",44.96,45.02,45.56,44.53,29.53M,0.78%
"Jan 06, 2021",44.61,44.46,45.09,43.7,36.48M,2.55%
"Jan 05, 2021",43.5,41.84,44.8,41.84,44.04M,4.82%
"Jan 04, 2021",41.5,41.51,42.23,41.01,27.76M,0.68%
"Dec 31, 2020",41.22,41.47,41.68,40.97,22.79M,-0.91%
"Dec 30, 2020",41.6,41.32,42.42,41.28,23.81M,0.80%
"Dec 29, 2020",41.27,41.87,42.11,41.2,20.29M,-1.13%
"Dec 28, 2020",41.74,41.69,42.55,41.52,23.75M,0.34%
"Dec 24, 2020",41.6,41.65,41.85,41.38,8.04M,-0.41%
"Dec 23, 2020",41.77,41.55,42.37,41.55,19.09M,1.29%
"Dec 22, 2020",41.24,41.63,41.9,41.24,21.81M,-1.69%
"Dec 21, 2020",41.95,40.99,42.08,40.56,27.87M,-1.83%
"Dec 18, 2020",42.73,43.27,43.78,42.42,46.60M,-1.72%
"Dec 17, 2020",43.48,43.99,44.02,43.42,21.20M,-0.50%
"Dec 16, 2020",43.7,43.65,44.1,42.98,34.27M,1.53%
"Dec 15, 2020",43.04,42.46,43.22,42.06,27.24M,1.94%
"Dec 14, 2020",42.22,44.35,44.45,42.19,30.60M,-3.61%
"Dec 11, 2020",43.8,43.7,43.92,43.21,25.48M,-0.48%
"Dec 10, 2020",44.01,43.12,44.46,42.77,38.06M,2.83%
"Dec 09, 2020",42.8,42.76,43.73,42.39,37.82M,1.33%
"Dec 08, 2020",42.24,40.51,42.59,40.51,32.57M,3.28%
"Dec 07, 2020",40.9,41.45,41.54,40.69,24.90M,-1.87%
"Dec 04, 2020",41.68,40.77,41.76,40.65,28.72M,3.66%
"Dec 03, 2020",40.21,40.07,40.63,39.74,27.04M,0.68%
"Dec 02, 2020",39.94,38.35,40.41,38.34,29.37M,3.74%
"Dec 01, 2020",38.5,38.96,39.65,38.47,34.23M,0.97%
"Nov 30, 2020",38.13,39.81,39.84,37.97,45.61M,-5.13%
"Nov 27, 2020",40.19,40.7,40.94,39.87,14.97M,-1.52%
"Nov 25, 2020",40.81,41.67,41.71,40.65,28.18M,-2.79%
"Nov 24, 2020",41.98,40.57,42.06,40.24,46.98M,6.66%
"Nov 23, 2020",39.36,37.53,39.41,37.29,29.37M,6.55%
"Nov 20, 2020",36.94,37.35,37.41,36.78,18.36M,-1.23%
"Nov 19, 2020",37.4,37.21,37.5,36.58,26.95M,0.51%
"Nov 18, 2020",37.21,39.04,39.12,37.21,31.07M,-3.78%
"Nov 17, 2020",38.67,37.84,38.7,37.39,26.52M,1.34%
"Nov 16, 2020",38.16,37.63,38.16,37.1,38.60M,5.76%
"Nov 13, 2020",36.08,35.4,36.25,35.38,29.26M,2.41%
"Nov 12, 2020",35.23,35.82,36.29,34.88,30.96M,-3.43%
"Nov 11, 2020",36.48,37.07,37.12,36.2,34.12M,-1.03%
"Nov 10, 2020",36.86,36.99,37,35.99,49.06M,-0.19%
"Nov 09, 2020",36.93,36.53,37.95,36.08,76.88M,12.66%
"Nov 06, 2020",32.78,33.1,33.66,32.62,33.99M,-1.18%
"Nov 05, 2020",33.17,33.32,33.91,33.15,30.82M,-0.18%
"Nov 04, 2020",33.23,33.14,34.13,32.56,35.41M,-0.54%
"Nov 03, 2020",33.41,34.46,34.46,33.15,36.77M,-1.71%
"Nov 02, 2020",33.99,33.12,34.43,32.59,40.13M,4.20%
